"","gene","clone_id","AASA_fold_clone","AASA_fdr_clone","log2FoldChange","fdr"
"8265","GTF2F2","SB03037B2E11.f1",0.832630502,0.075196573,-0.264251684766063,1.12380195144431
"8266","COG3","SB02022A1F04.f1",1.063442616,0.3291011,0.0887421867110715,0.482670666100851
"8267","RAB39B","SB010018000A09",1.125620707,0.154274151,0.170720773853598,0.811706834912148
"8268","RAB39B","SB03045A1E04.f1",1.216704229,0.047336487,0.282978503125349,1.32480397566605
"8269","RAB39B","SB03041B1D07.f1",1.316648434,0.00030248,0.396870174573717,3.51930333564552
"8270","PSMD10","SB02006B2F11.f1",0.903055259,0.1037644,-0.147113824295207,0.983951620817527
"8271","PSMD10","SB02008A2F01.f1",0.823768454,0.007283734,-0.279689215257024,2.13764592290479
"8272","FRMPD3","SB02003B2C11.f1",1.078814395,0.51893817,0.109446677202059,0.284884384015603
"8273","FRMPD3","SB03016A1H05.f1",1.034973263,0.817703759,0.0495934983182754,0.0874040057831699
"8274","LOC100144431","SB03001B1F08.f1",1.001238975,0.99221631,0.0017863566910168,0.00339363833109537
"8275","PRPS1","SB010025000E12",1.094370216,0.068214089,0.130100871983186,1.16612591650154
"8276","PRPS1","SB02048A1A03.f1",1.042624309,0.422377527,0.0602194021700123,0.374299196912525
"8277","CBY2","SB03009B2H12.f1",0.981905018,0.834519137,-0.0263446189092895,0.0785636997298448
"8278","RAB9B","SB010015000H09",1.200545666,0.162182455,0.263690281418158,0.789996129833999
"8279","ZC3H13","SB02028A2C04.f1",1.218350845,0.049531608,0.284929641828453,1.30511757280109
"8280","ZC3H13","SB02038B1C04.f1",1.166343213,0.078502719,0.221992384450266,1.10511530088218
"8281","LOC100225043","SB03045A1F03.f1",0.922263206,0.432014732,-0.116749552692068,0.364501443191529
"8282","RBMX","SB02010A1H09.f1",0.748933724,0.003782363,-0.417090040138075,2.42223679348893
"8283","RBMX","SB02020B1D04.f1",1.146665858,0.22524149,0.197445046770344,0.647351608410421
"8284","RBMX","SB02014A1D06.f2",0.757969955,0.002300535,-0.399787432020783,2.63817115505676
"8285","RBMX","SB02015A2F03.f1",0.747803276,0.037314973,-0.419269303473841,1.42811686828599
"8286","RBMX","SB02017A1D10.f1",1.154268363,0.21964033,0.206978684086049,0.658287912453685
"8287","RBMX","SB02027A1B09.f1",0.759475402,0.000632632,-0.396924855620564,3.1988488442383
"8288","RBMX","SB02044B1B03.f1",1.059865034,0.592585476,0.0838805599053534,0.227248997085387
"8289","RBMX","SB03006A1H08.f1",1.212505668,0.123992646,0.277991491362758,0.906604072066234
"8290","ATP11C","SB03017B2A10.f1",1.264964663,0.006146386,0.339097083554583,2.21138016903799
"8291","NOX1","SB010025000E09",0.960462642,0.807879613,-0.0581985947388743,0.0926533512367159
"8292","TRMT12","SB010025000D03",0.854208337,0.089870819,-0.227340116258911,1.04638130053079
"8293","PCDH19","SB010023000H08",1.140109558,0.100206192,0.189172465783679,0.999105441459338
"8294","PCDH19","SB02033B2C07.f1",1.070776649,0.518273764,0.0986575828107648,0.285440775413641
"8295","DIAPH2","SB03021A2B03.f1",0.989419979,0.868025674,-0.0153450632772142,0.0614674293031956
"8296","DIAPH2","SB03021B1A01.f1",1.582325691,0.006442379,0.662046581119271,2.19095372956802
"8297","DIAPH2","SB03021B2H08.f1",1.038404065,0.628148587,0.0543679361229,0.201937612821222
"8298","DIAPH2","SB03036A2H04.f1",1.260590413,0.241448931,0.334099595950456,0.617174713070961
"8299","DACH2","SB03010B1F10.f1",1.117012427,0.217933445,0.159645236198617,0.661676115947606
"8300","DACH2","SB03045B1A09.f1",0.914685176,0.533920868,-0.128652824910255,0.272523104652228
"8301","CHM","SB02032A1B10.f2",1.059016497,0.552758823,0.0827250633195916,0.257464316592518
"8302","POF1B","SB02039B1H05.f1",0.900900127,0.191493142,-0.150560915894235,0.717846774932378
"8303","POF1B","SB03022A1D03.f1",1.020681374,0.899360966,0.0295325705332599,0.0460659655769289
"8304","APOOL","SB03006A2A04.f1",1.035022413,0.757419879,0.0496620090519888,0.120663300711481
"8305","HDX","SB02028A2A05.f1",1.045770985,0.596675184,0.0645669481628464,0.224262024290944
"8306","RPS6KA6","SB02010B2B05.f1",1.090795242,0.204365417,0.125380312408374,0.689592594235864
"8307","RPS6KA6","SB02038B1E05.f1",1.12233819,0.282322906,0.166507463396962,0.549253884354558
"8308","LRCH1","SB010002000H02",1.066853457,0.434442351,0.0933620211681269,0.362067844770325
"8309","LRCH1","SB02037B2E10.f1",0.989010772,0.946949287,-0.0159418604284082,0.0236732786163653
"8310","LRCH1","SB03043B2D09.f1",0.967690654,0.708591734,-0.0473821664645476,0.149603918188455
"8311","BRWD3","SB02039B1B07.f1",1.054578187,0.810964327,0.0766660612914261,0.0909982492756439
"8312","BRWD3","SB03007B2G07.f1",1.198722526,0.105284205,0.261497749918882,0.977636777873101
"8313","BRWD3","SB03043B1H08.f1",0.995759929,0.956754525,-0.00613013471151503,0.0191994750894747
"8314","KIF4A","SB02043B2A08.f1",1.023940889,0.760106565,0.0341324325175505,0.119125516473022
"8315","TAF9B","SB03006A2C09.f1",0.802100685,0.003782363,-0.31814475018603,2.42223679348893
"8316","CHMP1B","SB02013A2F08.f1",1.308240805,0.042176941,0.387628118973634,1.37492492187002
"8317","CHMP1B","SB02034B1E05.f1",1.045062424,0.791088702,0.0635891203975155,0.101774817855875
"8318","EDA","SB03017A1E05.f1",1.038693278,0.493879998,0.054769695014907,0.30637856228577
"8319","EFNB1","SB02027B1B02.f1",1.069752942,0.433037193,0.0972776466201766,0.363474801057771
"8320","EFNB1","SB03039A2H03.f1",0.888927997,0.273168142,-0.169861529125883,0.563569951258311
"8321","STARD8","SB03011A2H09.f1",0.865533547,0.121732673,-0.208338357152641,0.914592841661624
"8322","OPHN1","SB02021A2F04.f1",0.871157632,0.248302206,-0.198994303355301,0.605019422010594
"8323","LOC100217839","SB02003A2H09.f2",1.234113624,0.056184414,0.303475228551247,1.25038414444132
"8324","ZC3H12B","SB010021000H11",1.081902414,0.387726018,0.113570376070965,0.411475055080741
"8325","LAS1L","SB02006B1A06.f1",0.874692293,0.294352764,-0.193152512728843,0.531131881766838
"8326","LAS1L","SB03041A1F09.f1",0.972347682,0.841347204,-0.0404558248750159,0.0750247441978782
"8327","LOC100226555","SB03044B1F09.f1",1.29162474,0.163760075,0.369186979955428,0.78579197144424
"8328","HTR2A","SB010014000D06",1.243078928,0.232417457,0.313917901715509,0.633731254964844
"8329","HTR2A","SB010021000C01",1.026922026,0.910588454,0.0383266422463853,0.0406778607221825
"8330","HTR2A","SB02042A2D07.f1",1.167821869,0.289625554,0.223820232857553,0.53816312247633
